2025-03-10 16:18:27,862 - AVC - Arming Drone
2025-03-10 16:18:31,957 - AVC - UAV START: TAKING OFF
2025-03-10 16:21:08,291 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:09,293 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:09,293 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:10,295 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:10,295 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:11,297 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:11,298 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:12,299 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:12,300 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:13,302 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:13,302 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:14,304 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:14,304 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:15,306 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:15,307 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:16,309 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:16,309 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:17,311 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:17,312 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:18,314 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:18,320 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:19,322 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:19,322 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:20,324 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:20,324 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:21,326 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:21,326 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:22,328 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:22,329 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:23,331 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:23,331 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:24,335 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:24,335 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:25,338 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:25,338 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:26,341 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:26,341 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:27,343 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:27,343 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:28,346 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:28,346 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:29,348 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:29,348 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:30,350 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:30,351 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
